r_px,raw_sum_adu,ap_area_pix,net_adu,err_adu,snr3
2.0,301744.4851742546,12.566370614359172,123076.00381376452,24.921932282817323,4938.461529269964
2.25,377119.5261860606,15.904312808798327,150992.2294641904,28.05663531447732,5381.694125891065
2.5,459435.41466974636,19.634954084936208,180265.91254398064,31.198189373110964,5778.088926511481
2.75,548306.3313285153,23.75829444277281,210511.23375633877,34.347345885956855,6128.893756603409
3.0,643560.9708007409,28.274333882308138,241556.88773963827,37.50485322678809,6440.683457124014
3.25,744103.6126003597,33.18307240354219,272307.15400781564,40.67145643059031,6695.288979201755
3.5,850014.0659717382,38.48451000647496,302841.84180523746,43.847896913769276,6906.644631116572
3.75,961114.6734211762,44.178646691106465,332983.2936382033,47.034912200306124,7079.492191250143
4.0,1077299.1323844304,50.26548245743669,362625.20694247016,50.23323565425769,7218.830366379845
4.25,1197803.1925380877,56.74501730546564,391003.3313946248,53.44359621897779,7316.186766185089
4.5,1322845.0280145642,63.61725123519331,418335.8411270833,56.66671816341224,7382.390487494094
4.75,1452316.6317670732,70.8821842466197,444514.7290930591,59.9033208357974,7420.535671328311
5.0,1586382.7033016402,78.53981633974483,469704.69479857734,63.154118425067026,7437.435697180803
5.25,1724485.4208023266,86.59014751456867,493347.91642769985,66.41981973024775,7427.721400499797
5.5,1866865.718000863,95.03317777109125,515685.3277121568,69.70112793809794,7398.521989057918
5.75,2013590.5835803407,103.86890710931253,536783.9173350402,72.99874040921868,7353.331226346094
6.0,2164796.589839128,113.09733552923255,556780.2575947174,76.31334847284016,7295.974672017896
6.25,2320106.1931661153,122.7184630308513,575296.8048800796,79.64563723045987,7223.205499824436
6.5,2479843.30657293,132.73228961416876,592657.4722027536,82.99628536848398,7140.771054650144
6.75,2644049.56351865,143.13881527918494,608903.893021818,86.36596497999622,7050.276033653421
7.0,2812867.9658617135,153.93804002589985,624179.0691957106,89.7553413957542,6954.227564502772
7.25,2986130.0021627736,165.1299638543135,638314.489285084,93.16507302448657,6851.43550649411
7.5,3164016.488410118,176.71458676442586,651490.9692782266,96.59581120254092,6744.505389702545
7.75,3346613.627406383,188.69190875623696,663794.7119777743,100.04820005290712,6634.749167168912
8.0,3534040.6994619677,201.06192982974676,675344.9976941268,103.52287635361792,6523.630539275727
8.25,3726165.698388965,213.8246499849553,686009.8202393763,107.02046941550581,6410.0804639152775
8.5,3923151.4257708313,226.98006922186255,695951.9811969795,110.54160096927266,6295.837721677596
8.75,4125070.164911757,240.52818754046854,705243.7638711273,114.0868850618087,6181.637472957986
9.0,4331985.065568895,254.46900494077323,713948.3180189715,117.65692796167615,6068.051668419582
9.25,4543839.135565149,268.8025214227767,722008.6514634159,121.25232807365468,5954.5961956691835
9.5,4760753.484942301,283.5287369864788,729545.8742462448,124.8736758622273,5842.271152898152
9.75,4982764.838676907,298.6476516318797,736596.7113440111,128.52155378386874,5731.308793408506
10.0,5209946.017673079,314.1592653589793,743233.9836608274,132.19653622798208,5622.189543446652
10.25,5442239.483221801,330.0635781677776,749400.1524876794,135.89918946631525,5514.382796767379
10.5,5679723.770677865,346.3605900582747,755173.7531793574,139.63007161067512,5408.389070264017
10.75,5922438.881917832,363.05030103047045,760594.7876124242,143.38973257874454,5304.388075308897
11.0,6170418.748863235,380.132711084365,765697.1877084104,147.17871406779668,5202.499509240842
11.25,6423641.990534526,397.60782021995817,770459.5724877706,150.99754953609013,5102.464078753954
11.5,6682171.411025422,415.4756284372501,774944.7460442195,154.84676419172095,5004.591152351976
11.75,6946019.964535899,433.73613573624084,779165.6625777343,158.72687498869732,4908.845226324889
12.0,7215215.335616504,452.3893421169302,783150.0066388622,162.63839062999853,4815.2837937293925
12.25,7489739.486938401,471.43524757931834,786879.7408987666,166.58181157737226,4723.683416861417
12.5,7769623.754932906,490.8738521234052,790386.2017887626,170.5576300676198,4634.129833273384
12.75,8054892.613981999,510.70515574919074,793693.8636908336,174.56633013511617,4546.660647998421
13.0,8345571.76582576,530.929158456675,796828.4283450544,178.60838764030805,4461.315836688217
13.25,8641642.342369515,551.5458602458581,799771.0276567563,182.68427030393073,4377.886647417328
13.5,8943137.871976297,572.5552611167398,802555.1899889698,186.79443774668556,4296.461927187177
13.75,9250071.701880895,593.9573610693203,805194.2625764813,190.9393415341172,4217.016022507905
14.0,9562449.729295317,615.7521601035994,807694.1426313054,195.1194252264324,4139.486069590414
14.25,9880252.519503908,637.9396582195774,810035.3954377808,199.33512443300222,4063.6862055389474
14.5,10203500.431177372,660.519855417254,812238.3796666134,203.58686687129185,3989.6403542577855
14.75,10532203.400699377,683.4927516966294,814313.0317014717,207.87507242996554,3917.319292700759
15.0,10866377.50798599,706.8583470577034,816275.4314584248,212.20015323591602,3846.724043365421
15.25,11206012.025813702,730.6166415004762,818114.851713961,216.56251372497297,3777.73067758596
15.5,11551123.4239944,754.7676350249478,819847.762279965,220.9625507160483,3710.3471136768526
15.75,11901731.254496764,779.311327631118,821493.715125123,225.40065348848137,3644.5933159954384
16.0,12257845.83642755,804.247719318987,823063.0293561872,229.8772038623521,3580.4464972047776
