star,x_px,y_px,fwhm_mean_px,fwhm_x_px,fwhm_y_px,axis_ratio,resid_rms,peak_box_ADU,sat_flag,fit_flag,ann_in_px,ann_out_px,B_ADU,sigma_sky_ADU,ann_Npix_raw,ann_Npix_core,max_snr3,opt_r_px,snr_sensitivity_frac,score
Star 3,2114.4464011462364,1431.8036276892292,7.248959983732798,7.275852071017096,7.2220678964484994,1.007447198688764,220.0099922473538,30152.892578125,0,0,22.118928555970804,36.86488092661801,14221.191166826515,7.4115521484375,2964,2261,10124.091816131824,5.074271988612958,0.004585732134916347,479202.8040161578
Star 2,1054.1395690539953,1406.3217777756993,7.385481190597202,7.457019321101391,7.313943060093014,1.019562123991509,333.08475522677827,40382.0703125,0,0,22.118928555970804,36.86488092661801,14232.118044617384,13.771964062499999,2974,2283,9060.95969978361,5.169836833418041,0.00419176580952747,431132.23810974014
Star 4,1240.6482088453167,1342.0603674112522,7.373541597246063,7.435439058033028,7.311644136459098,1.0169312016919196,177.8717848888979,28192.8671875,0,0,22.118928555970804,36.86488092661801,14223.4895673579,9.034593749999999,2974,2291,7346.8952059169615,5.1614791180722435,0.004784730625412917,349980.1099163911
Star 1,1536.110611169962,1542.5270796968584,7.328832708276007,7.286256462185282,7.371408954366732,1.0116867272821621,140.20390190395273,25203.1484375,0,0,22.118928555970804,36.86488092661801,14218.24369410153,7.091576953124999,2966,2247,7343.827763029025,5.1301828957932045,0.004750541966112585,346470.1066584374
Star 5,1399.8212296918407,900.7816220870188,7.372976185323601,7.4733512249908856,7.272601145656318,1.0276036146234238,293.5206458885247,36736.84765625,0,0,22.118928555970804,36.86488092661801,14234.606195689748,16.2231767578125,2972,2225,6570.242716855925,5.16108332972652,0.004155687319125902,308635.13799007353
