r_px,raw_sum_adu,ap_area_pix,net_adu,err_adu,snr3
2.0,334518.27324131585,12.566370614359172,155783.83075467404,32.41272876723684,4806.254723981837
2.25,417715.9116448868,15.904312808798327,191505.13287273076,36.48911528431771,5248.281066300224
2.5,508513.6173250886,19.634954084936208,229241.05093971075,40.574230988650896,5649.917333093318
2.75,605607.2498660247,23.75829444277281,267687.4445397175,44.66903355909228,5992.684936547735
3.0,708767.6035771283,28.274333882308138,306615.1079821842,48.774476861822954,6286.384349150852
3.25,817963.0389592166,33.18307240354219,345992.40176792804,52.89151059357917,6541.548877787775
3.5,932872.8459915423,38.48451000647496,385498.6158762019,57.021079931651755,6760.6333716983145
3.75,1052301.1909733855,44.178646691106465,423937.9166062854,61.16412519116887,6931.153111096818
4.0,1176182.066625405,50.26548245743669,461244.29667883785,65.32158149015139,7061.131806007792
4.25,1304754.9387870326,56.74501730546564,497657.2219332907,69.4943784228037,7161.114801337524
4.5,1437919.4275121903,63.61725123519331,533076.3124235662,73.68343974147616,7234.68277667145
4.75,1574755.056407185,70.8821842466197,566581.0917559712,77.88968304770593,7274.148123172503
5.0,1715458.7064140262,78.53981633974483,598368.4408725149,82.1140194927148,7287.043608011448
5.25,1860369.3627675711,86.59014751456867,628777.345008055,86.35735348771172,7281.109478390017
5.5,2009450.0045229965,95.03317777109125,657770.7832177677,90.62058242431746,7258.514187625206
5.75,2162206.72150118,103.86890710931253,684854.8453225314,94.90459640539733,7216.2452743288095
6.0,2318801.358734027,113.09733552923255,710191.3763542508,99.21027798655736,7158.445584140781
6.25,2479576.9388415045,122.7184630308513,734123.3989328931,103.53850192852634,7090.342097470811
6.5,2644610.235253374,132.73228961416876,756727.68648822,107.89013496061632,7013.872832436924
6.75,2813549.3147898596,143.13881527918494,777652.3058404555,112.2660355554211,6926.870642515569
7.0,2986592.222896558,153.93804002589985,797095.3024351965,116.66705371488257,6832.222783161922
7.25,3164044.3200585227,165.1299638543135,815362.0367574953,121.09403076782316,6733.296691732154
7.5,3345954.621448179,176.71458676442586,832501.5239797784,125.5477991790127,6630.952748066525
7.75,3532121.2193912836,188.69190875623696,848311.8564278027,130.02918236980926,6524.01131013162
8.0,3722738.8236737726,201.06192982974676,862987.7438875036,134.5389945503836,6414.406074398919
8.25,3917999.606876172,213.8246499849553,876721.3589394074,139.07804056351023,6303.8086773954155
8.5,4117992.556241936,226.98006922186255,889601.6888269684,143.64711573988063,6192.965895938201
8.75,4322591.600348895,240.52818754046854,901502.6621280173,148.24700576486842,6081.08512867958
9.0,4531919.980955592,254.46900494077323,912547.5206010961,152.87848655665184,5969.103574706932
9.25,4746146.901213231,268.8025214227767,922905.4673974081,157.5423241555754,5858.1430250199
9.5,4965320.220832743,283.5287369864788,932624.3622278874,162.2392746246097,5748.450024729214
9.75,5189360.254323229,298.6476516318797,941624.5196016328,166.97008396074895,5639.480422271264
10.0,5418362.6263529435,314.1592653589793,950001.5641868981,171.73548801716385,5531.772000973681
10.25,5652437.700735358,330.0635781677776,957865.8597971564,176.53621243591155,5425.888811027331
10.5,5891615.806795851,346.3605900582747,965247.7357577868,181.37297259098585,5321.894006415811
10.75,6135856.189980935,363.05030103047045,972106.4375152998,186.24647354147567,5219.462248227852
11.0,6385220.96848424,380.132711084365,978504.0832633246,191.15740999458612,5118.839407224848
11.25,6639794.018637846,397.60782021995817,984524.5493339458,196.10646627826304,5020.357400846568
11.5,6899602.056292974,415.4756284372501,990194.5515783802,201.0943163231507,4924.030523006808
11.75,7164606.755426566,433.73613573624084,995475.7639735695,206.12162365360226,4829.555222437586
12.0,7434862.749430694,452.3893421169302,1000422.8199115889,211.18904138745353,4737.0962685331015
12.25,7710426.989053405,471.43524757931834,1005092.6701404834,216.29721224426368,4646.812872490635
12.5,7991314.097083366,490.8738521234052,1009499.9374489198,221.44676856171913,4558.657342374194
12.75,8277504.660449106,510.70515574919074,1013625.2087654294,226.63833231989304,4472.434995394903
13.0,8569033.859256396,530.929158456675,1017503.6641957797,231.87251517304807,4388.202989200378
13.25,8865945.844990812,551.5458602458581,1021179.4552255487,237.14991848866705,4306.050205428804
13.5,9168249.065892145,572.5552611167398,1024661.0300945286,242.47113339339597,4225.909351576597
13.75,9475929.244530387,593.9573610693203,1027934.1113727074,247.8367408255807,4147.626005524877
14.0,9789012.090705883,615.7521601035994,1031024.4088604357,253.247311594081,4071.215612795999
14.25,10107526.360594954,637.9396582195774,1033960.6787340287,258.70340644304594,3996.7029926281903
14.5,10431475.710709102,660.519855417254,1036746.5775049925,264.2055761223355,3924.0147491245457
14.75,10760855.469573572,683.4927516966294,1039377.4336985704,269.75436146327917,3853.0514504398757
15.0,11095687.239762194,706.8583470577034,1041874.849888593,275.3502934594611,3783.816014134681
15.25,11435987.872393277,730.6166415004762,1044255.6771933679,280.99389335223094,3716.2931362510944
15.5,11781763.756943014,754.7676350249478,1046526.30508909,286.68567272063905,3650.4311330161167
15.75,12133005.38301636,779.311327631118,1048677.223180715,292.426133575505,3586.126897615136
16.0,12489726.656835089,804.247719318987,1050722.3376900125,298.2157684573298,3523.3627756352366
