r_px,raw_sum_adu,ap_area_pix,net_adu,err_adu,snr3
2.0,471120.0840606314,12.566370614359172,292279.05744756176,50.567912152765956,5779.931284577956
2.25,585783.0871598524,15.904312808798327,359437.41285268613,56.92685827983097,6314.021600943221
2.5,709076.0327587241,19.634954084936208,429636.9286758028,63.29916778019763,6787.4024847797355
2.75,840474.9376556132,23.75829444277281,502353.6217152784,69.68630709940518,7208.785235221143
3.0,977931.1576401325,28.274333882308138,575538.8477607258,76.08973695402587,7563.948448244364
3.25,1122016.317406106,33.18307240354219,649764.2315059691,82.51091179489113,7874.888513184517
3.5,1270981.2676877722,38.48451000647496,723280.6236852464,88.9512792803062,8131.199793158913
3.75,1424703.871876259,44.178646691106465,795965.8876896863,95.41227976001399,8342.38412174766
4.0,1581619.0300465848,50.26548245743669,866254.9235943063,101.89534577063354,8501.417970004699
4.25,1742701.3235074403,56.74501730546564,935122.3127077977,108.40190154326038,8626.438276404357
4.5,1906659.0096074804,63.61725123519331,1001276.3123788155,114.93336252387653,8711.798649159055
4.75,2073641.39450538,70.8821842466197,1064866.2287660344,121.49113490717656,8764.970625878415
5.0,2242673.7718932354,78.53981633974483,1124917.3555615502,128.07661518437365,8783.159626307794
5.25,2414835.143721602,86.59014751456867,1182508.6947159192,134.69118970550582,8779.406413302928
5.5,2589295.430689925,95.03317777109125,1236810.1669285859,141.33623425671766,8750.83571762703
5.75,2766454.205870885,103.86890710931253,1288221.3452722314,148.01311365294836,8703.427105065637
6.0,2945693.1519498588,113.09733552923255,1336123.9124322322,154.72318134640966,8635.576781741484
6.25,3127989.610306208,122.7184630308513,1381495.20978795,161.4677790511929,8555.8568892556
6.5,3312918.5566730904,132.73228961416876,1423910.2130725426,168.24823638429714,8463.150899366206
6.75,3500840.1198203764,143.13881527918494,1463729.0510558805,175.0658705233249,8361.018893519058
7.0,3691423.3690388873,153.93804002589985,1500620.7930287845,181.92198588104677,8248.70499165502
7.25,3885463.4960876945,165.1299638543135,1535380.6307503264,188.8178737969908,8131.542845361687
7.5,4082691.4029509765,176.71458676442586,1567739.4662046852,195.75481224616843,8008.689279286778
7.75,4283414.355384597,188.69190875623696,1598004.565147723,202.73406556500615,7882.269616081502
8.0,4487467.294577446,201.06192982974676,1626010.868768332,209.75688419450884,7751.883209995254
8.25,4695416.959075924,213.8246499849553,1652325.115612911,216.82450444064082,7620.564473907337
8.5,4907133.797253861,226.98006922186255,1676817.754055291,223.93814825187022,7487.861122122533
8.75,5122854.251117006,240.52818754046854,1699725.2261012201,231.0990230137848,7354.965001300907
9.0,5342468.315268211,254.46900494077323,1720937.5263535515,238.3083213606505,7221.474753913956
9.25,5566410.94113677,268.8025214227767,1740889.6062415773,245.5672210037495,7089.25889671161
9.5,5794602.09993874,283.5287369864788,1759501.4369813572,252.87688457630074,6957.93702112959
9.75,6027216.733119572,298.6476516318797,1776947.9600183396,260.2384594947361,6828.152777527037
10.0,6264197.4500248525,314.1592653589793,1793171.784698112,267.6530778360743,6699.612047040798
10.25,6505837.335870797,330.0635781677776,1808465.9962368906,275.12185623110855,6573.3272558241915
10.5,6752078.2972759865,346.3605900582747,1822772.5012532556,282.6458957730985,6448.961504526974
10.75,7003055.041391109,363.05030103047045,1836226.0068978947,290.22628194163184,6326.87706507291
11.0,7258721.315855256,380.132711084365,1848780.2608099002,297.8640845413028,6206.791475571612
11.25,7519282.156410708,397.60782021995817,1860640.2987315524,305.5603576548311,6089.272551622616
11.5,7784711.102329608,415.4756284372501,1871779.6599349938,313.3161396102316,5974.092692012312
11.75,8055107.478134546,433.73613573624084,1882297.6689428147,321.1324529616257,5861.437084864616
12.0,8330432.381495364,452.3893421169302,1892155.4234248577,329.0103044832746,5751.0521635380765
12.25,8610825.313214138,471.43524757931834,1901492.4241831983,336.950685176401,5643.236556078601
12.5,8896267.040118814,490.8738521234052,1910289.438045781,344.95457028835693,5537.800054218496
12.75,9186824.885952635,510.70515574919074,1918613.7887558527,353.02291934368634,5434.813672502611
13.0,9482474.951730248,530.929158456675,1926441.577328056,361.1566761866256,5334.088234693407
13.25,9783306.835124202,551.5458602458581,1933862.401434943,369.35676903457863,5235.757304488165
13.5,10089315.496850215,572.5552611167398,1940871.2217922313,377.6241105421025,5139.690945596646
13.75,10400549.521376148,593.9573610693203,1947516.622867778,385.9595978749354,5045.908000709552
14.0,10716992.92697309,615.7521601035994,1953782.622932678,394.3641127935981,4954.260693480613
14.25,11038720.979465479,637.9396582195774,1959744.487811366,402.8385217461058,4864.83884241468
14.5,11365722.159769166,660.519855417254,1965390.6984196939,411.38367596932125,4777.512607394422
14.75,11698036.095002927,683.4927516966294,1970760.881876437,420.00041159849224,4692.28321557081
15.0,12035638.935750736,706.8583470577034,1975831.1887655705,428.68954978451467,4609.002458209543
15.25,12378592.555542381,730.6166415004762,1980663.4926168807,437.45189681847137,4527.72866461885
15.5,12726895.076856107,754.7676350249478,1985255.9159086123,446.28824426300196,4448.371520937221
15.75,13080573.544598227,779.311327631118,1989635.5035470817,455.19936909006725,4370.910064142478
16.0,13439612.84838109,804.247719318987,1993787.1451446358,464.18603382467893,4295.232945112004
