r_px,raw_sum_adu,ap_area_pix,net_adu,err_adu,snr3
2.0,357663.81291048153,12.566370614359172,178954.8252647183,26.932620830765323,6644.538100811078
2.25,445665.44948099623,15.904312808798327,219486.88699182714,30.319818429169512,7239.056774187915
2.5,540517.1982326971,19.634954084936208,261284.40503619198,33.71427524775894,7749.963572287086
2.75,642953.7948946296,23.75829444277281,305082.11512685847,37.11678768709132,8219.518286410374
3.0,752248.8514263578,28.274333882308138,350153.6292233904,40.52814897455106,8639.763672485098
3.25,866486.7876127464,33.18307240354219,394583.3671106528,43.949148867436925,8978.179948395085
3.5,985143.8842643639,38.48451000647496,437847.60959921405,47.38057336168811,9241.078748811791
3.75,1109406.2605967869,44.178646691106465,481132.4759046504,50.82320440667674,9466.787494443053
4.0,1238762.2630283935,50.26548245743669,523926.31244534056,54.27781962647408,9652.677945629835
4.25,1371629.1027783148,56.74501730546564,564646.3304404152,57.74519204797617,9778.239718577655
4.5,1507793.6825076016,63.61725123519331,603079.4325509252,61.226089836251546,9850.039977464738
4.75,1648495.901780741,70.8821842466197,640465.5183413578,64.72127603745042,9895.74924281094
5.0,1793544.9032787841,78.53981633974483,676613.7304927637,68.2315083295899,9916.441055712925
5.25,1941767.988525523,86.59014751456867,710351.3705289357,71.75753878150493,9899.32740993096
5.5,2093183.3724610913,95.03317777109125,741696.6533900066,75.30011362022927,9849.874292762699
5.75,2248837.3891857686,103.86890710931253,771695.9131762567,78.85997300704443,9785.647696168022
6.0,2408707.394911187,113.09733552923255,800326.5060993175,82.43785082240873,9708.24079127701
6.25,2571987.6282240413,122.7184630308513,826782.6707458845,86.03447445995228,9609.899705155276
6.5,2738786.786630314,132.73228961416876,851173.1046219396,89.65056462969704,9494.341816336822
6.75,2909918.9834063062,143.13881527918494,874311.9210037845,93.28683517063574,9372.296952775123
7.0,3085422.5731699434,153.93804002589985,896237.474509344,96.9439928727764,9244.899533749485
7.25,3264786.904730644,165.1299638543135,916439.1139480365,100.62273730873504,9107.674253943005
7.5,3448104.003964891,176.71458676442586,935008.8651963454,104.32376067493259,8962.56863390675
7.75,3635992.0100748637,188.69190875623696,952564.8674564497,108.04774764242883,8816.14738151553
8.0,3828491.322468864,201.06192982974676,969147.520136652,111.79537521740131,8668.941074279797
8.25,4025297.3375400268,213.8246499849553,984452.2196300863,115.56731261125451,8518.431357330148
8.5,4226490.263937886,226.98006922186255,998559.1745862872,119.3642211203221,8365.648979351316
8.75,4432506.7549596885,240.52818754046854,1011905.0383025012,123.18675401510359,8214.39810142602
9.0,4643364.181177254,254.46900494077323,1024507.1813505483,127.03555643895625,8064.727782279204
9.25,4858847.453103188,268.8025214227767,1036150.5142430337,130.9112653161433,7914.907183432906
9.5,5079042.336819796,283.5287369864788,1046920.803062263,134.81450926912152,7765.638941520474
9.75,5304247.795017198,298.6476516318797,1057117.010498356,138.7459085449331,7619.086008262413
10.0,5534472.479216401,314.1592653589793,1066747.7880723197,142.7060749505509,7475.1392920165345
10.25,5769578.955222246,330.0635781677776,1075675.7015889967,146.69561179701094,7332.705378245776
10.5,6009637.3188910745,346.3605900582747,1083970.8469047248,150.71511385215123,7192.1841094721285
10.75,6254842.177546331,363.05030103047045,1091827.8313429523,154.76516730176436,7054.738804462916
11.0,6505190.335378472,380.132711084365,1099243.4590941332,158.84634971895795,6920.168206817415
11.25,6760602.739830509,397.60782021995817,1106138.6776012816,162.95923004150757,6787.824643743932
11.5,7021127.938561194,415.4756284372501,1112562.0345231462,167.10436855697674,6657.887188292158
11.75,7286912.535412675,433.73613573624084,1118660.1337018777,171.28231689537023,6531.089454991575
12.0,7557935.108402897,452.3893421169302,1124411.5531554194,175.49361802907953,6407.136429138425
12.25,7834143.887295142,471.43524757931834,1129764.5226470549,179.73880627987316,6285.590441097549
12.5,8115577.561028301,490.8738521234052,1134757.7311156737,184.0184073326793,6166.544681936041
12.75,8402354.333071502,510.70515574919074,1139509.382030405,188.33293825590397,6050.504986451477
13.0,8694464.025789568,530.929158456675,1144009.2977560712,192.68290752802463,5937.26403879224
13.25,8991864.846271217,551.5458602458581,1148215.6853813892,197.06881507019693,5826.470743087326
13.5,9294593.047414726,572.5552611167398,1152164.7978046387,201.49115228461085,5718.190524699465
13.75,9602726.076288633,593.9573610693203,1155934.0820943546,205.95040209833178,5612.681841438938
14.0,9916249.64516884,615.7521601035994,1159509.2505264431,210.44703901236224,5509.74371494165
14.25,10235129.177029673,637.9396582195774,1162855.7260752227,214.98152915566143,5409.095984396106
14.5,10559385.27963096,660.519855417254,1165994.1165005304,219.5543303438606,5310.7315837240785
14.75,10889071.858189488,683.4927516966294,1168978.3270191457,224.1658921424153,5214.791223798131
15.0,11224184.846775692,706.8583470577034,1171804.2917015087,228.81665593393788,5121.149450063735
15.25,11564711.475570131,730.6166415004762,1174459.2407281771,233.50705498945825,5029.652062466372
15.5,11910664.139521124,754.7676350249478,1176955.5690474678,238.23751454336286,4940.261282121644
15.75,12262091.68917614,779.311327631118,1179342.1272068545,243.00845187176864,4853.090985613838
16.0,12618987.49179276,804.247719318987,1181612.2824639138,247.82027637409223,4768.021001962867
